City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Avarua,CK,-21.21,-159.78,78.8,83,66,20.8,'light rain'
78,Ibra,OM,22.69,58.53,60.39,33,0,4.32,'clear sky'
79,Nanortalik,GL,60.14,-45.24,31.41,86,0,34.14,'clear sky'
80,Lexington,US,37.99,-84.48,46.99,31,1,20.8,'clear sky'
81,Lebu,CL,-37.62,-73.65,56.73,83,8,6.44,'clear sky'
82,Iquitos,PE,-3.75,-73.25,82.4,74,75,3.36,'broken clouds'
83,Albany,US,42.6,-73.97,48.0,85,100,10.02,'light rain'
84,Mayumba,GA,-3.43,10.66,76.96,89,100,1.88,'overcast clouds'
85,Matara,LK,5.95,80.54,76.77,85,44,6.17,'scattered clouds'
86,Roald,NO,62.58,6.13,50.0,66,75,25.28,'broken clouds'
87,Severo-Kurilsk,RU,50.68,156.12,41.65,73,2,6.73,'clear sky'
88,Garhshankar,IN,31.22,76.13,61.79,34,0,1.7,'clear sky'
89,Fort-Shevchenko,KZ,44.51,50.26,61.5,33,26,8.21,'scattered clouds'
90,Hasaki,JP,35.73,140.83,55.4,93,75,18.61,'broken clouds'
91,Joshimath,IN,30.57,79.57,48.42,48,0,4.43,'clear sky'
92,Peniche,PT,39.36,-9.38,66.0,90,99,5.35,'overcast clouds'
93,Port-Gentil,GA,-0.72,8.78,78.8,94,75,8.05,'thunderstorm'
94,Ostrovnoy,RU,68.05,39.51,37.9,91,100,21.5,'overcast clouds'
95,Tura,IN,25.52,90.22,68.56,96,97,1.63,'overcast clouds'
96,Muridke,PK,31.8,74.26,62.6,67,0,1.01,'smoke'
97,Bandarbeyla,SO,9.49,50.81,76.8,75,0,19.28,'clear sky'
98,Kuytun,RU,54.34,101.5,16.97,91,83,7.76,'broken clouds'
99,Cherskiy,RU,68.75,161.3,2.52,93,99,6.11,'overcast clouds'
100,La Sarre,CA,48.8,-79.2,32.09,98,100,20.07,'snow'
101,Boquira,BR,-12.82,-42.73,72.7,80,90,1.21,'light rain'
102,Ribeira Grande,PT,38.52,-28.7,64.4,68,75,6.93,'broken clouds'
103,Vohibinany,MG,-17.35,49.03,65.8,72,96,1.52,'overcast clouds'
104,Charters Towers,AU,-20.1,146.27,77.05,59,0,8.99,'clear sky'
105,Hervey Bay,AU,-25.3,152.85,77.0,80,0,8.01,'clear sky'
106,Ilulissat,GL,69.22,-51.1,17.6,72,100,2.24,'light snow'
107,Yulara,AU,-25.24,130.99,71.6,24,33,3.36,'scattered clouds'
108,Katsuura,JP,35.13,140.3,59.0,72,40,4.7,'scattered clouds'
109,Waslala,NI,13.23,-85.38,71.6,83,75,0.72,'light rain'
110,Luena,AO,-11.78,19.92,65.97,60,21,2.89,'few clouds'
111,Saint-Francois,FR,46.42,3.91,64.4,72,90,4.7,'overcast clouds'
112,Malakal,SS,9.53,31.66,75.04,77,12,3.47,'few clouds'
113,Constitucion,CL,-35.33,-72.42,56.46,80,63,8.99,'broken clouds'
114,Bambous Virieux,MU,-20.34,57.76,69.8,68,40,9.17,'scattered clouds'
