City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
561,Madras,IN,80.6,mist,13.09,80.28,"Taj Connemara, Chennai"
564,Lahat,ID,83.89,overcast clouds,-3.8,103.53,Bukit Serelo Hotel
569,Port Keats,AU,89.82,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
586,Dingle,PH,83.28,moderate rain,11.0,122.67,Camp Pasica
594,Siocon,PH,86.07,moderate rain,7.71,122.14,MSWDO
597,Lafiagi,NG,81.23,overcast clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
599,Itoman,JP,75.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
602,Praia,CV,75.2,clear sky,14.92,-23.51,LT Aparthotel
603,Port Blair,IN,83.35,clear sky,11.67,92.75,Fortune Resort Bay Island
613,Mareeba,AU,90.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
618,Cairns,AU,90.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
622,Lukang,TW,75.0,broken clouds,24.06,120.44,二鹿行館 Lu Kang Bed and Breakbast
626,Mogadishu,SO,78.8,overcast clouds,2.04,45.34,Hotel Juba
628,Gisborne,NZ,78.01,overcast clouds,-38.65,178.0,ASURE Alfresco Motor Lodge
630,Takoradi,GH,78.06,light rain,4.88,-1.76,Raybow International Hotel
634,Kiama,AU,78.01,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
636,Maragogi,BR,76.84,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
638,Ahuimanu,US,87.8,broken clouds,21.44,-157.84,Paradise Bay Resort
640,Chauk,MM,80.19,clear sky,20.88,94.82,Bo Khin Guest House
643,Atar,MR,79.3,clear sky,20.52,-13.05,Oumou Elghoura
648,Lufilufi,WS,84.2,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
650,Mandera,KE,78.85,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
653,Faanui,PF,79.75,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
654,Meulaboh,ID,77.41,overcast clouds,4.14,96.13,Kost Pria
665,Manga,BF,78.04,few clouds,11.66,-1.07,Auberge Somkieta
668,Acapulco,MX,82.4,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
669,Rodrigues Alves,BR,77.52,overcast clouds,-7.74,-72.65,Pousada Aconchego
673,Mayumba,GA,77.95,light rain,-3.43,10.66,LIKWALE LODGE
674,Riohacha,CO,79.16,overcast clouds,11.54,-72.91,Hotel Taroa
680,Borba,BR,78.94,few clouds,-4.39,-59.59,Hotel da Amazônia
